word,colour,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,fixation.started,key_resp.started,text.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,text.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
BLUE,purple,I,p,0,0,0,4,19.6629421999678,20.68257259996608,20.68257259996608,20.68257259996608,21.163058599922806,21.19638290000148,p,1,2.1390664998907596,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,purple,C,p,0,1,1,6,,,22.84532959992066,22.84532959992066,23.344542199978605,23.344542199978605,p,1,1.6105601000599563,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,orange,C,o,0,2,2,3,,,24.47697399999015,24.47697399999015,24.97674179985188,24.97674179985188,o,1,1.531619600020349,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,blue,I,b,0,3,3,7,,,26.025853999890387,26.025853999890387,26.525891699828207,26.525891699828207,b,1,1.9515182001050562,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,red,C,r,0,4,4,0,,,28.00749669992365,28.00749669992365,28.50715049984865,28.50715049984865,r,1,1.3964387001469731,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,blue,C,b,0,5,5,5,,,29.42303800000809,29.42303800000809,29.92273009987548,29.92273009987548,b,1,1.5226957998238504,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,red,I,r,0,6,6,2,,,30.9718718000222,30.9718718000222,31.47140789986588,31.47140789986588,r,1,1.6387044999282807,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,orange,I,o,0,7,7,1,,,32.637122799875215,32.637122799875215,33.13725599995814,33.13725599995814,o,1,5.7256684000603855,38.14916959987022,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,red,I,r,1,0,8,2,,,38.38234000001103,38.38234000001103,38.88224059995264,38.88224059995264,r,1,1.5508115000557154,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,blue,I,b,1,1,9,7,,,39.96438080002554,39.96438080002554,40.46388079994358,40.46388079994358,b,1,1.9846644001081586,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,purple,C,p,1,2,10,6,,,41.979562799911946,41.979562799911946,42.47930719982833,42.47930719982833,p,1,1.3563834000378847,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,orange,I,o,1,3,11,1,,,43.36155069991946,43.36155069991946,43.86133449990302,43.86133449990302,o,1,1.6657740999944508,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,purple,I,p,1,4,12,4,,,45.04369409987703,45.04369409987703,45.54337319987826,45.54337319987826,p,1,2.0328058002050966,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,red,C,r,1,5,13,0,,,47.1085167999845,47.1085167999845,47.608071099966764,47.608071099966764,r,1,1.597434600116685,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,blue,C,b,1,6,14,5,,,48.72412010002881,48.72412010002881,49.22324809990823,49.22324809990823,b,1,1.4893658000510186,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,orange,C,o,1,7,15,3,,,50.23940089996904,50.23940089996904,50.738816999830306,50.738816999830306,o,1,1.5633195999544114,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,orange,C,o,2,0,16,3,,,51.82145179994404,51.82145179994404,52.32112209987827,52.32112209987827,o,1,1.4561809999868274,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,blue,C,b,2,1,17,5,,,53.303396199829876,53.303396199829876,53.80291810003109,53.80291810003109,b,1,1.747703499859199,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,orange,I,o,2,2,18,1,,,55.06854090001434,55.06854090001434,55.56849409989081,55.56849409989081,o,1,2.052684900118038,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,blue,I,b,2,3,19,7,,,57.150176799856126,57.150176799856126,57.64996169996448,57.64996169996448,b,1,1.531141199870035,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,purple,C,p,2,4,20,6,,,58.6991097999271,58.6991097999271,59.19892789982259,59.19892789982259,p,1,1.4733367001172155,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,red,C,r,2,5,21,0,,,60.19801459996961,60.19801459996961,60.69741169991903,60.69741169991903,r,1,1.3980263001285493,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,purple,I,p,2,6,22,4,,,61.61326639982872,61.61326639982872,62.11298540001735,62.11298540001735,p,1,1.5479933000169694,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,red,I,r,2,7,23,2,,,63.178756800014526,63.178756800014526,63.67824069992639,63.67824069992639,r,1,1.460424699820578,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,red,C,r,3,0,24,0,,,64.66098389984109,64.66098389984109,65.1604487998411,65.1604487998411,r,1,1.5162440999411047,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,orange,C,o,3,1,25,3,,,66.21012429986149,66.21012429986149,66.70942299999297,66.70942299999297,o,1,1.4551500000525266,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,blue,C,b,3,2,26,5,,,67.6918366998434,67.6918366998434,68.19124919991009,68.19124919991009,b,1,1.2695428000297397,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,red,I,r,3,3,27,2,,,68.99089919985272,68.99089919985272,69.49034049990587,69.49034049990587,r,1,1.4387414001394063,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,purple,I,p,3,4,28,4,,,70.45596649986692,70.45596649986692,70.95568599994294,70.95568599994294,p,1,1.4868521001189947,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,blue,I,b,3,5,29,7,,,71.9714507998433,71.9714507998433,72.47108729998581,72.47108729998581,b,1,1.6113639001268893,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,orange,I,o,3,6,30,1,,,73.60336870001629,73.60336870001629,74.1030679999385,74.1030679999385,o,1,1.519087300170213,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,purple,C,p,3,7,31,6,,,75.15211779996753,75.15211779996753,75.65191609994508,75.65191609994508,p,1,1.3169498001225293,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,orange,C,o,4,0,32,3,,,76.50110869994387,76.50110869994387,77.00071749999188,77.00071749999188,o,1,1.4109100000932813,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,purple,C,p,4,1,33,6,,,77.93330429983325,77.93330429983325,78.432913800003,78.432913800003,p,1,1.2977448001038283,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,purple,I,p,4,2,34,4,,,79.24881049990654,79.24881049990654,79.74896779982373,79.74896779982373,p,1,1.4636786999180913,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,orange,I,o,4,3,35,1,,,80.73092049988918,80.73092049988918,81.23052829992957,81.23052829992957,o,1,1.570282000117004,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,red,I,r,4,4,36,2,,,82.3294477998279,82.3294477998279,82.82911890000105,82.82911890000105,r,1,1.370466599939391,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,blue,C,b,4,5,37,5,,,83.72842269996181,83.72842269996181,84.22790149995126,84.22790149995126,b,1,1.2746206999290735,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,blue,I,b,4,6,38,7,,,85.02736720000394,85.02736720000394,85.52693069982342,85.52693069982342,b,1,1.907884200103581,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,red,C,r,4,7,39,0,,,86.95934919989668,86.95934919989668,87.45866619981825,87.45866619981825,r,1,1.422667299862951,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,red,I,r,5,0,40,2,,,88.40814780001529,88.40814780001529,88.90741620003246,88.90741620003246,r,1,1.3897714999038726,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,blue,I,b,5,1,41,7,,,89.8232148999814,89.8232148999814,90.32290769997053,90.32290769997053,b,1,1.5735124999191612,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,orange,C,o,5,2,42,3,,,91.42208209983073,91.42208209983073,91.92189969983883,91.92189969983883,o,1,1.3998167000245303,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,blue,C,b,5,3,43,5,,,92.85422159987502,92.85422159987502,93.35388329997659,93.35388329997659,b,1,1.4335343001876026,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,orange,I,o,5,4,44,1,,,94.31972289993428,94.31972289993428,94.81912919995375,94.81912919995375,o,1,1.7425243000034243,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,purple,C,p,5,5,45,6,,,96.08527879999019,96.08527879999019,96.58452909998596,96.58452909998596,p,1,1.3142035000491887,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,purple,I,p,5,6,46,4,,,97.4173006999772,97.4173006999772,97.91672490001656,97.91672490001656,p,1,1.5683399001136422,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,red,C,r,5,7,47,0,,,99.01635139994323,99.01635139994323,99.51556689990684,99.51556689990684,r,1,1.3500444001983851,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,red,I,r,6,0,48,2,,,100.39798239991069,100.39798239991069,100.89777299994603,100.89777299994603,r,1,1.6396200000308454,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,red,C,r,6,1,49,0,,,102.06337479990907,102.06337479990907,102.56298389984295,102.56298389984295,r,1,1.492484200047329,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,blue,I,b,6,2,50,7,,,103.57897219993174,103.57897219993174,104.07840280001983,104.07840280001983,b,1,1.489011000143364,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,orange,I,o,6,3,51,1,,,105.09426119993441,105.09426119993441,105.59387749992311,105.59387749992311,o,1,1.477344200015068,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,purple,I,p,6,4,52,4,,,106.5929333998356,106.5929333998356,107.09262919984758,107.09262919984758,p,1,1.570300499908626,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,orange,C,o,6,5,53,3,,,108.19175149989314,108.19175149989314,108.6913250000216,108.6913250000216,o,1,1.4112964000087231,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,blue,C,b,6,6,54,5,,,109.62391299987212,109.62391299987212,110.12342910002917,110.12342910002917,b,1,1.3817102001048625,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,purple,C,p,6,7,55,6,,,111.02275939984247,111.02275939984247,111.52234749984927,111.52234749984927,p,1,1.3204715999308974,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
RED,orange,I,o,7,0,56,1,,,112.37145269988105,112.37145269988105,112.87128269998357,112.87128269998357,o,1,1.5794920998159796,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
ORANGE,red,I,r,7,1,57,2,,,113.97027029981837,113.97027029981837,114.46991879981942,114.46991879981942,r,1,1.4251749999821186,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
PURPLE,blue,I,b,7,2,58,7,,,115.41904699988663,115.41904699988663,115.91890279995278,115.91890279995278,b,1,1.4381029999349266,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
BLUE,blue,C,b,7,3,59,5,,,116.88457759981975,116.88457759981975,117.3840566999279,117.3840566999279,b,1,1.3747582000214607,,,,138167,001,2022-10-10_14h37.52.774,stroop task,2022.2.2,60.11728878570709,
