word,colour,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,fixation.started,key_resp.started,text.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
RED,blue,I,b,0,0,0,1,23.3145104998257,24.325385299976915,24.325385299976915,24.79779289988801,24.831097199814394,b,1,2.0265597000252455,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
RED,red,C,r,0,1,1,0,,26.379585899878293,26.379585899878293,26.879350899951532,26.879350899951532,r,1,1.452326500089839,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
BLUE,red,C,b,0,2,2,3,,27.862000699853525,27.862000699853525,28.361636999994516,28.361636999994516,r,0,1.6496135999914259,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
BLUE,blue,I,r,0,3,3,2,,29.54397329990752,29.54397329990752,30.04348609992303,30.04348609992303,b,0,1.3154035001061857,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
BLUE,blue,I,r,1,0,4,2,,30.876172799849883,30.876172799849883,31.375678499927744,31.375678499927744,b,0,1.1542283999733627,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
RED,blue,I,b,1,1,5,1,,32.05862449994311,32.05862449994311,32.558173399884254,32.558173399884254,r,0,1.3750197000335902,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
RED,red,C,r,1,2,6,0,,33.457404599990696,33.457404599990696,33.95701399981044,33.95701399981044,r,1,1.3292882000096142,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
BLUE,red,C,b,1,3,7,3,,34.806253699818626,34.806253699818626,35.30576139991172,35.30576139991172,r,0,1.7582358000800014,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
RED,red,C,r,2,0,8,0,,36.588180999970064,36.588180999970064,37.08773979987018,37.08773979987018,r,1,1.3710515000857413,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
RED,blue,I,b,2,1,9,1,,37.98710039979778,37.98710039979778,38.4868651998695,38.4868651998695,b,1,1.2991593000479043,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
BLUE,blue,I,r,2,2,10,2,,39.302766599925235,39.302766599925235,39.80207459977828,39.80207459977828,b,0,1.2597446001600474,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
BLUE,red,C,b,2,3,11,3,,40.5849547998514,40.5849547998514,41.08458949998021,41.08458949998021,r,0,1.3019808998797089,,,220613,001,2022-10-10_11h55.08.650,stroop task,2022.2.2,60.01539997108144,
